State District ID,Students*,Teachers*,Schools*,Student Teacher Ratio*,Type
15,1218,?,3,?,Regular School District
25,1858,123.15,4,15.1,Regular School District
35,1384,78.08,3,17.7,Regular School District
125,6873,422.22,9,16.3,Regular School District
225,6517,355.16,11,18.3,Regular School District
235,30821,1817.97,51,17,Regular School District
255,9452,544.4,23,17.4,Regular School District
365,11394,597.18,17,19.1,Regular School District
370,904,60.49,2,14.9,Regular School District
395,1880,120.95,4,15.5,Regular School District
515,1883,106.67,5,17.7,Regular School District
615,1809,98.94,3,18.3,Regular School District
630,5740,304.43,8,18.9,Regular School District
665,3547,205.61,6,17.3,Regular School District
670,2060,149.59,6,13.8,Regular School District
750,1102,68.2,2,16.2,Regular School District
755,1618,94.62,3,17.1,Regular School District
775,981,53.87,2,18.2,Regular School District
815,1506,94.62,3,15.9,Regular School District
875,4205,356.25,9,11.8,Regular School District
940,4440,256.2,8,17.3,Regular School District
1000,1357,81.37,3,16.7,Regular School District
1010,10593,613.46,20,17.3,Regular School District
1125,4400,277.09,10,15.9,Regular School District
1150,1023,78.09,2,13.1,Regular School District
1160,1015,61.59,2,16.5,Regular School District
1170,3188,234.27,5,13.6,Regular School District
1180,1020,68.2,3,15,Regular School District
1300,1627,100.11,6,16.3,Regular School District
1315,748,49.52,3,15.1,Regular School District
1375,1129,66,2,17.1,Regular School District
1405,2504,138.59,6,18.1,Regular School District
1560,4117,206.71,7,19.9,Regular School District
1600,2820,166.01,6,17,Regular School District
1620,1932,114.39,4,16.9,Regular School District
1655,2142,148.5,4,14.4,Regular School District
1730,2294,141.9,3,16.2,Regular School District
1805,1481,129.62,5,11.4,Regular School District
1820,1731,112.17,3,15.4,Regular School District
1835,3943,208.86,6,18.9,Regular School District
1875,2606,160.53,5,16.2,Regular School District
1885,845,62.69,2,13.5,Regular School District
1895,1127,70.4,3,16,Regular School District
1900,781,51.68,2,15.1,Regular School District
1910,2323,125.36,4,18.5,Regular School District
1940,842,56.09,2,15,Regular School District
1970,6871,477.14,15,14.4,Regular School District
2040,997,63.79,4,15.6,Regular School District
2100,1362,79.2,4,17.2,Regular School District
2110,1747,87.95,4,19.9,Regular School District
2120,3258,172.71,6,18.9,Regular School District
2155,2083,123.18,4,16.9,Regular School District
2260,1983,102.3,4,19.4,Regular School District
2270,4950,302.5,7,16.4,Regular School District
2275,4400,261.67,7,16.8,Regular School District
2285,3135,185.85,5,16.9,Regular School District
2305,12536,767.69,20,16.3,Regular School District
2315,6450,433.29,10,14.9,Regular School District
